NOME;EMAIL;CPF;TELEFONE;LOGIN;SENHA;ID_ENDERECO;ID_TIPO_USUARIO;ID_INSTITUICAO
Youngkon;Youngkon@hotmail.com;354.097.138-69 ;(50)99559-5669;Youngkon;Youngkon@#$456;16;1;28
Subhash;Subhash@hotmail.com;395.155.738-90 ;(60)96632-5562;Subhash;Subhash@#$456;11;1;78
Boguslaw;Boguslaw@hotmail.com;358.987.178-46 ;(46)96021-9684;Boguslaw;Boguslaw@#$456;5;1;54
Pantung;Pantung@hotmail.com;267.386.398-21 ;(89)92758-3490;Pantung;Pantung@#$456;6;1;133
Yurij;Yurij@hotmail.com;372.490.568-83 ;(66)98813-5469;Yurij;Yurij@#$456;3;1;72
Vishwani;Vishwani@hotmail.com;371.937.828-43 ;(39)94481-3272;Vishwani;Vishwani@#$456;8;1;105
Sahrah;Sahrah@hotmail.com;094.812.678-73 ;(09)97831-8364;Sahrah;Sahrah@#$456;13;1;63
Troy;Troy@hotmail.com;301.412.588-10 ;(53)92887-5788;Troy;Troy@#$456;17;1;140
Patricio;Patricio@hotmail.com;265.358.458-18 ;(23)94377-1991;Patricio;Patricio@#$456;4;1;88
Nalini;Nalini@hotmail.com;406.462.148-45 ;(70)93887-5270;Nalini;Nalini@#$456;8;1;45
Frazer;Frazer@hotmail.com;323.948.178-28 ;(09)93750-6479;Frazer;Frazer@#$456;14;1;129
Leszek;Leszek@hotmail.com;176.141.228-01 ;(22)95944-9646;Leszek;Leszek@#$456;17;1;64
Val;Val@hotmail.com;789.691.584-72 ;(75)95408-2142;Val;Val@#$456;12;1;135
Zine;Zine@hotmail.com;332.921.258-63 ;(70)96860-6688;Zine;Zine@#$456;7;1;83
Xiaoqiang;Xiaoqiang@hotmail.com;172.154.658-88 ;(38)93879-2369;Xiaoqiang;Xiaoqiang@#$456;7;1;75
Shuichi;Shuichi@hotmail.com;314.041.948-19 ;(24)99061-4922;Shuichi;Shuichi@#$456;12;1;23
Valdiodio;Valdiodio@hotmail.com;302.288.198-30 ;(91)97983-7611;Valdiodio;Valdiodio@#$456;15;1;111
Debatosh;Debatosh@hotmail.com;283.814.948-26 ;(59)92425-1143;Debatosh;Debatosh@#$456;6;1;140
Josyula;Josyula@hotmail.com;366.316.188-94 ;(44)92592-8227;Josyula;Josyula@#$456;1;1;151
Beshir;Beshir@hotmail.com;228.611.418-83 ;(97)91248-4539;Beshir;Beshir@#$456;17;1;132
Arno;Arno@hotmail.com;321.199.588-90 ;(54)97069-5059;Arno;Arno@#$456;12;1;40
Pradeep;Pradeep@hotmail.com;029.318.016-40 ;(85)93145-3193;Pradeep;Pradeep@#$456;11;1;75
Margo;Margo@hotmail.com;002.970.611-43 ;(16)93909-2057;Margo;Margo@#$456;8;1;91
Poorav;Poorav@hotmail.com;338.235.088-22 ;(28)91231-8367;Poorav;Poorav@#$456;13;1;155
Berna;Berna@hotmail.com;380.890.648-09 ;(98)93524-4536;Berna;Berna@#$456;4;1;101
Ziva;Ziva@hotmail.com;389.656.378-56 ;(75)92683-1584;Ziva;Ziva@#$456;11;1;124
Shirish;Shirish@hotmail.com;408.023.528-39 ;(06)97151-7207;Shirish;Shirish@#$456;15;1;40
Honesty;Honesty@hotmail.com;274.617.758-71 ;(33)93889-1419;Honesty;Honesty@#$456;4;1;60
Deborah;Deborah@hotmail.com;088.471.688-05 ;(35)98674-5285;Deborah;Deborah@#$456;1;1;61
Somnath;Somnath@hotmail.com;323.963.968-89 ;(66)94747-7280;Somnath;Somnath@#$456;7;1;96
Turgut;Turgut@hotmail.com;385.605.638-65 ;(18)93008-1985;Turgut;Turgut@#$456;4;1;129
Morris;Morris@hotmail.com;178.709.248-81 ;(62)93175-9246;Morris;Morris@#$456;13;1;71
Gou;Gou@hotmail.com;112.851.208-41 ;(83)93615-4205;Gou;Gou@#$456;8;1;9
Iara;Iara@hotmail.com;271.698.438-70 ;(46)91281-1377;Iara;Iara@#$456;6;1;156
Aemilian;Aemilian@hotmail.com;349.444.908-28 ;(09)92584-0539;Aemilian;Aemilian@#$456;1;1;41
Naftaly;Naftaly@hotmail.com;129.387.278-44 ;(65)90292-3538;Naftaly;Naftaly@#$456;9;1;6
Tristan;Tristan@hotmail.com;106.277.358-60 ;(40)90613-3993;Tristan;Tristan@#$456;11;1;160
Foong;Foong@hotmail.com;040.360.566-03 ;(29)97792-1918;Foong;Foong@#$456;17;1;4
Stamatina;Stamatina@hotmail.com;309.788.488-29 ;(10)93339-6201;Stamatina;Stamatina@#$456;16;1;46
Aloys;Aloys@hotmail.com;707.441.301-15 ;(08)94414-4527;Aloys;Aloys@#$456;9;1;9
Basant;Basant@hotmail.com;136.728.998-01 ;(04)94263-4486;Basant;Basant@#$456;17;1;75
Padma;Padma@hotmail.com;114.517.018-88 ;(29)98160-2832;Padma;Padma@#$456;1;1;125
Toney;Toney@hotmail.com;136.728.538-01 ;(87)98223-5975;Toney;Toney@#$456;1;1;80
Kazunori;Kazunori@hotmail.com;331.279.018-28 ;(28)90635-4996;Kazunori;Kazunori@#$456;2;1;69
Arlette;Arlette@hotmail.com;041.080.888-16 ;(87)95994-3211;Arlette;Arlette@#$456;16;1;72
Rosli;Rosli@hotmail.com;337.212.428-66 ;(94)93292-0572;Rosli;Rosli@#$456;11;1;36
Margareta;Margareta@hotmail.com;305.595.208-16 ;(88)97336-3952;Margareta;Margareta@#$456;10;1;101
Lunjin;Lunjin@hotmail.com;363.148.899-87 ;(11)96659-7696;Lunjin;Lunjin@#$456;8;1;1
Mariangiola;Mariangiola@hotmail.com;367.495.618-70 ;(28)99585-3192;Mariangiola;Mariangiola@#$456;8;1;109
Augustine;Augustine@hotmail.com;787.701.226-87 ;(66)93392-9200;Augustine;Augustine@#$456;10;1;160
Armond;Armond@hotmail.com;283.326.428-33 ;(77)99645-6069;Armond;Armond@#$456;4;1;105
Syozo;Syozo@hotmail.com;301.521.758-57 ;(65)97188-0187;Syozo;Syozo@#$456;11;1;158
Serap;Serap@hotmail.com;139.918.336-20 ;(21)97509-5132;Serap;Serap@#$456;13;1;133
Masali;Masali@hotmail.com;026.117.576-90 ;(28)92853-4420;Masali;Masali@#$456;15;1;66
Khatoun;Khatoun@hotmail.com;248.043.168-17 ;(91)98829-7079;Khatoun;Khatoun@#$456;7;1;157
Katsuyuki;Katsuyuki@hotmail.com;360.345.038-84 ;(44)92304-6229;Katsuyuki;Katsuyuki@#$456;14;1;116
Danco;Danco@hotmail.com;113.896.708-48 ;(57)96911-1210;Danco;Danco@#$456;16;1;25
Genevieve;Genevieve@hotmail.com;261.235.638-07 ;(08)96067-7581;Genevieve;Genevieve@#$456;3;1;12
Theron;Theron@hotmail.com;271.189.008-26 ;(15)90522-8144;Theron;Theron@#$456;3;1;132
Rafael;Rafael@hotmail.com;986.406.078-34 ;(13)90242-4574;Rafael;Rafael@#$456;10;1;146
teste;teste@hotmail.com;280.118.238-92 ;(31)91195-8065;teste;teste@#$456;15;1;159
Alejandro;Alejandro@hotmail.com;020.086.568-45 ;(38)98544-7826;Alejandro;Alejandro@#$456;7;1;39
Fumino;Fumino@hotmail.com;045.398.076-76 ;(39)93820-0532;Fumino;Fumino@#$456;12;1;23
Harngdar;Harngdar@hotmail.com;401.417.748-35 ;(41)91327-9822;Harngdar;Harngdar@#$456;10;1;56
Ramzi;Ramzi@hotmail.com;373.012.248-77 ;(17)91659-9262;Ramzi;Ramzi@#$456;1;1;4
Mona;Mona@hotmail.com;746.291.318-68 ;(91)93029-3457;Mona;Mona@#$456;5;1;41
Ulises;Ulises@hotmail.com;392.592.018-88 ;(71)98506-8239;Ulises;Ulises@#$456;17;1;138
Zorica;Zorica@hotmail.com;344.032.368-47 ;(56)96458-0890;Zorica;Zorica@#$456;10;1;17
Kwan;Kwan@hotmail.com;076.882.928-32 ;(30)91346-8226;Kwan;Kwan@#$456;17;1;79
Remzi;Remzi@hotmail.com;321.744.058-73 ;(01)94797-1986;Remzi;Remzi@#$456;12;1;103
Ipke;Ipke@hotmail.com;276.967.428-50 ;(40)91319-2286;Ipke;Ipke@#$456;6;1;100
Subhankar;Subhankar@hotmail.com;339.190.888-24 ;(09)97689-8439;Subhankar;Subhankar@#$456;12;1;96
Maha;Maha@hotmail.com;332.902.868-86 ;(77)95484-3407;Maha;Maha@#$456;15;1;64
Gianluca;Gianluca@hotmail.com;316.691.788-89 ;(10)97039-9929;Gianluca;Gianluca@#$456;15;1;7
Jongsuk;Jongsuk@hotmail.com;400.732.558-82 ;(05)97042-3381;Jongsuk;Jongsuk@#$456;7;1;2
Murthy;Murthy@hotmail.com;307.746.388-18 ;(46)99893-8690;Murthy;Murthy@#$456;2;1;96
Akemi;Akemi@hotmail.com;371.839.518-55 ;(60)90690-9909;Akemi;Akemi@#$456;17;1;160
Freyja;Freyja@hotmail.com;318.275.998-12 ;(79)99032-8432;Freyja;Freyja@#$456;8;1;132
Izaskun;Izaskun@hotmail.com;222.374.788-48 ;(21)90606-5042;Izaskun;Izaskun@#$456;16;1;99
Zvonko;Zvonko@hotmail.com;324.062.678-06 ;(59)91580-5843;Zvonko;Zvonko@#$456;9;1;154
Werner;Werner@hotmail.com;076.872.888-66 ;(33)91625-0563;Werner;Werner@#$456;16;1;120
Sajjad;Sajjad@hotmail.com;405.560.538-26 ;(69)97357-7892;Sajjad;Sajjad@#$456;9;1;63
Sanjit;Sanjit@hotmail.com;045.717.148-07 ;(08)96044-5729;Sanjit;Sanjit@#$456;10;1;74
Moon;Moon@hotmail.com;342.969.508-27 ;(35)93969-6952;Moon;Moon@#$456;12;1;21
Haldun;Haldun@hotmail.com;307.214.998-48 ;(26)94042-9700;Haldun;Haldun@#$456;8;1;40
Shigenori;Shigenori@hotmail.com;306.975.338-83 ;(60)90157-3597;Shigenori;Shigenori@#$456;1;1;92
Shakhar;Shakhar@hotmail.com;356.582.938-98 ;(36)97236-8551;Shakhar;Shakhar@#$456;17;1;67
Tetsurou;Tetsurou@hotmail.com;254.010.248-43 ;(01)96213-3199;Tetsurou;Tetsurou@#$456;2;1;15
Froduald;Froduald@hotmail.com;308.833.098-58 ;(90)98743-6149;Froduald;Froduald@#$456;4;1;29
Susanna;Susanna@hotmail.com;296.320.738-78 ;(22)92907-4105;Susanna;Susanna@#$456;1;1;91
Taizo;Taizo@hotmail.com;181.167.058-06 ;(68)94016-9189;Taizo;Taizo@#$456;13;1;123
Behnaam;Behnaam@hotmail.com;164.011.428-98 ;(66)96038-5377;Behnaam;Behnaam@#$456;6;1;106
Arun;Arun@hotmail.com;151.257.448-16 ;(96)95717-7703;Arun;Arun@#$456;17;1;149
Perla;Perla@hotmail.com;405.771.488-00 ;(54)96147-9396;Perla;Perla@#$456;17;1;124
Ottavia;Ottavia@hotmail.com;302.446.678-96 ;(57)93326-1020;Ottavia;Ottavia@#$456;15;1;109
Hyuncheol;Hyuncheol@hotmail.com;048.632.206-85 ;(87)99546-6811;Hyuncheol;Hyuncheol@#$456;13;1;11
Wuxu;Wuxu@hotmail.com;366.705.288-09 ;(82)96520-5900;Wuxu;Wuxu@#$456;8;1;128
Gilbert;Gilbert@hotmail.com;049.670.176-22 ;(34)99050-3681;Gilbert;Gilbert@#$456;9;1;25
Sedat;Sedat@hotmail.com;136.586.488-05 ;(77)97436-5484;Sedat;Sedat@#$456;8;1;49
Kazuhito;Kazuhito@hotmail.com;132.255.198-71 ;(50)99559-5669;Kazuhito;Kazuhito@#$456;11;1;16
Arco;Arco@hotmail.com;259.743.498-22 ;(60)96632-5562;Arco;Arco@#$456;13;1;24
Woody;Woody@hotmail.com;276.269.768-94 ;(46)96021-9684;Woody;Woody@#$456;2;1;44
Sadegh;Sadegh@hotmail.com;082.187.078-59 ;(89)92758-3490;Sadegh;Sadegh@#$456;6;1;50
Lucien;Lucien@hotmail.com;284.002.298-27 ;(66)98813-5469;Lucien;Lucien@#$456;4;1;146
Willard;Willard@hotmail.com;071.078.888-62 ;(39)94481-3272;Willard;Willard@#$456;4;1;97
Hatsukazu;Hatsukazu@hotmail.com;181.950.008-00 ;(09)97831-8364;Hatsukazu;Hatsukazu@#$456;10;1;151
Reinhold;Reinhold@hotmail.com;199.628.288-30 ;(53)92887-5788;Reinhold;Reinhold@#$456;10;1;72
Francoise;Francoise@hotmail.com;025.001.766-06 ;(23)94377-1991;Francoise;Francoise@#$456;14;1;2
Prasadram;Prasadram@hotmail.com;248.937.798-18 ;(70)93887-5270;Prasadram;Prasadram@#$456;2;1;105
Marc;Marc@hotmail.com;217.098.258-20 ;(09)93750-6479;Marc;Marc@#$456;9;1;152
Yakichi;Yakichi@hotmail.com;321.488.188-48 ;(22)95944-9646;Yakichi;Yakichi@#$456;12;1;84
Gunilla;Gunilla@hotmail.com;374.702.618-42 ;(75)95408-2142;Gunilla;Gunilla@#$456;10;1;14
Huai;Huai@hotmail.com;356.515.318-07 ;(70)96860-6688;Huai;Huai@#$456;5;1;10
Temple;Temple@hotmail.com;132.341.148-89 ;(38)93879-2369;Temple;Temple@#$456;8;1;75
Mariusz;Mariusz@hotmail.com;863.466.878-91 ;(24)99061-4922;Mariusz;Mariusz@#$456;6;1;131
Kotesh;Kotesh@hotmail.com;383.115.908-42 ;(91)97983-7611;Kotesh;Kotesh@#$456;1;1;156
Gad;Gad@hotmail.com;363.018.828-14 ;(59)92425-1143;Gad;Gad@#$456;9;1;159
Constantine;Constantine@hotmail.com;172.153.008-89 ;(44)92592-8227;Constantine;Constantine@#$456;6;1;107
Geraldo;Geraldo@hotmail.com;351.296.058-88 ;(97)91248-4539;Geraldo;Geraldo@#$456;14;1;58
Valery;Valery@hotmail.com;294.130.128-30 ;(54)97069-5059;Valery;Valery@#$456;8;1;113
Ortrud;Ortrud@hotmail.com;227.715.598-54 ;(85)93145-3193;Ortrud;Ortrud@#$456;13;1;127
Kazuhira;Kazuhira@hotmail.com;195.012.808-37 ;(16)93909-2057;Kazuhira;Kazuhira@#$456;9;1;110
Vatsa;Vatsa@hotmail.com;299.237.678-76 ;(28)91231-8367;Vatsa;Vatsa@#$456;5;1;3
Lillian;Lillian@hotmail.com;327.835.018-99 ;(98)93524-4536;Lillian;Lillian@#$456;17;1;55
Stella;Stella@hotmail.com;289.177.928-20 ;(75)92683-1584;Stella;Stella@#$456;10;1;33
Hongzhu;Hongzhu@hotmail.com;321.406.398-71 ;(06)97151-7207;Hongzhu;Hongzhu@#$456;7;1;103
Krister;Krister@hotmail.com;275.090.848-57 ;(33)93889-1419;Krister;Krister@#$456;14;1;121
Jayesh;Jayesh@hotmail.com;394.454.308-40 ;(35)98674-5285;Jayesh;Jayesh@#$456;2;1;141
Golgen;Golgen@hotmail.com;299.372.458-42 ;(66)94747-7280;Golgen;Golgen@#$456;10;1;6
Unal;Unal@hotmail.com;335.323.538-81 ;(18)93008-1985;Unal;Unal@#$456;5;1;120
Sanjoy;Sanjoy@hotmail.com;345.890.398-42 ;(62)93175-9246;Sanjoy;Sanjoy@#$456;3;1;145
Torsten;Torsten@hotmail.com;157.910.908-03 ;(83)93615-4205;Torsten;Torsten@#$456;14;1;130
Kannan;Kannan@hotmail.com;301.448.008-88 ;(46)91281-1377;Kannan;Kannan@#$456;3;1;93
Fai;Fai@hotmail.com;346.834.158-01 ;(09)92584-0539;Fai;Fai@#$456;7;1;60
Marsha;Marsha@hotmail.com;345.700.228-20 ;(65)90292-3538;Marsha;Marsha@#$456;5;1;98
Baziley;Baziley@hotmail.com;144.495.308-70 ;(40)90613-3993;Baziley;Baziley@#$456;17;1;20
Rance;Rance@hotmail.com;157.910.798-26 ;(29)97792-1918;Rance;Rance@#$456;14;1;152
True;True@hotmail.com;382.842.568-27 ;(10)93339-6201;True;True@#$456;15;1;122
Tsz;Tsz@hotmail.com;380.996.448-40 ;(08)94414-4527;Tsz;Tsz@#$456;16;1;74
Amstein;Amstein@hotmail.com;157.381.928-00 ;(04)94263-4486;Amstein;Amstein@#$456;9;1;137
Yakkov;Yakkov@hotmail.com;421.312.978-07 ;(29)98160-2832;Yakkov;Yakkov@#$456;6;1;35
Weiwu;Weiwu@hotmail.com;364.762.358-00 ;(87)98223-5975;Weiwu;Weiwu@#$456;2;1;40
Surveyors;Surveyors@hotmail.com;355.487.438-80 ;(28)90635-4996;Surveyors;Surveyors@#$456;9;1;77
Luise;Luise@hotmail.com;295.973.328-25 ;(87)95994-3211;Luise;Luise@#$456;12;1;71
Emdad;Emdad@hotmail.com;275.721.648-11 ;(94)93292-0572;Emdad;Emdad@#$456;8;1;62
Zhonghui;Zhonghui@hotmail.com;377.448.378-78 ;(88)97336-3952;Zhonghui;Zhonghui@#$456;15;1;41
Sibyl;Sibyl@hotmail.com;151.256.998-45 ;(11)96659-7696;Sibyl;Sibyl@#$456;13;1;146
Mohua;Mohua@hotmail.com;346.012.428-86 ;(28)99585-3192;Mohua;Mohua@#$456;12;1;111
Heon;Heon@hotmail.com;487.000.618-91 ;(66)93392-9200;Heon;Heon@#$456;16;1;71
Shen;Shen@hotmail.com;384.213.778-84 ;(77)99645-6069;Shen;Shen@#$456;2;1;102
Apostol;Apostol@hotmail.com;307.917.358-93 ;(65)97188-0187;Apostol;Apostol@#$456;4;1;148
Tsutomu;Tsutomu@hotmail.com;336.131.838-62 ;(21)97509-5132;Tsutomu;Tsutomu@#$456;8;1;103
Takahira;Takahira@hotmail.com;279.691.178-05 ;(28)92853-4420;Takahira;Takahira@#$456;3;1;58
Xiaoheng;Xiaoheng@hotmail.com;181.825.978-89 ;(91)98829-7079;Xiaoheng;Xiaoheng@#$456;17;1;109
Feixiong;Feixiong@hotmail.com;249.989.788-02 ;(44)92304-6229;Feixiong;Feixiong@#$456;11;1;151
Divier;Divier@hotmail.com;232.253.808-65 ;(57)96911-1210;Divier;Divier@#$456;6;1;93
Teunis;Teunis@hotmail.com;230.754.868-84 ;(08)96067-7581;Teunis;Teunis@#$456;17;1;72
Subbu;Subbu@hotmail.com;266.407.078-96 ;(15)90522-8144;Subbu;Subbu@#$456;15;1;130
Kwun;Kwun@hotmail.com;354.786.578-67 ;(13)90242-4574;Kwun;Kwun@#$456;2;1;77
Ebbe;Ebbe@hotmail.com;332.870.178-88 ;(35)90025-9451;Ebbe;Ebbe@#$456;8;1;115
Hatim;Hatim@hotmail.com;429.115.448-89 ;(50)90259-4515;Hatim;Hatim@#$456;14;1;54
Larisa;Larisa@hotmail.com;327.989.438-76 ;(15)97274-0432;Larisa;Larisa@#$456;9;1;156
Shao;Shao@hotmail.com;383.931.898-02 ;(72)94486-2598;Shao;Shao@#$456;1;1;124
Dipankar;Dipankar@hotmail.com;364.509.208-07 ;(51)96417-1082;Dipankar;Dipankar@#$456;5;1;120
Barna;Barna@hotmail.com;326.106.558-35 ;(64)93058-3741;Barna;Barna@#$456;1;1;66
Zhenbing;Zhenbing@hotmail.com;292.891.528-18 ;(95)98584-5601;Zhenbing;Zhenbing@#$456;8;1;21
Shay;Shay@hotmail.com;419.946.188-41 ;(75)99560-4960;Shay;Shay@#$456;4;1;33
Toshimori;Toshimori@hotmail.com;379.218.548-26 ;(90)99847-2571;Toshimori;Toshimori@#$456;4;1;42
Mori;Mori@hotmail.com;175.354.268-59 ;(67)99026-1348;Mori;Mori@#$456;15;1;14
Leni;Leni@hotmail.com;002.815.478-90 ;(43)96475-0890;Leni;Leni@#$456;3;1;49
Sadun;Sadun@hotmail.com;294.171.038-81 ;(88)93619-3300;Sadun;Sadun@#$456;15;1;54
Gudjon;Gudjon@hotmail.com;281.181.733-64;(01)93627-1166;Gudjon;Gudjon@#$456;5;1;23
Renee;Renee@hotmail.com;323.281.172-87;(20)93811-7206;Renee;Renee@#$456;2;1;95
Tomokazu;Tomokazu@hotmail.com;746.712.304-37;(42)92455-4565;Tomokazu;Tomokazu@#$456;6;1;72
Gaurav;Gaurav@hotmail.com;676.065.433-13;(91)99731-3966;Gaurav;Gaurav@#$456;9;1;51
Paris;Paris@hotmail.com;548.042.165-45;(94)91124-1856;Paris;Paris@#$456;7;1;81
Sukumar;Sukumar@hotmail.com;450.250.855-19;(80)96352-0099;Sukumar;Sukumar@#$456;4;1;132
Takahito;Takahito@hotmail.com;582.551.303-57;(97)95014-6746;Takahito;Takahito@#$456;15;1;70
Susuma;Susuma@hotmail.com;363.615.035-93;(67)94093-5533;Susuma;Susuma@#$456;13;1;24
Eirik;Eirik@hotmail.com;302.406.534-24;(07)91272-1741;Eirik;Eirik@#$456;17;1;158
Sadok;Sadok@hotmail.com;047.721.226-30;(01)95473-9365;Sadok;Sadok@#$456;3;1;150
Alejandra;Alejandra@hotmail.com;150.407.160-36;(15)90416-8528;Alejandra;Alejandra@#$456;16;1;139
Atilio;Atilio@hotmail.com;008.515.807-00;(30)91629-0330;Atilio;Atilio@#$456;11;1;27
Arnould;Arnould@hotmail.com;433.167.384-79;(95)92346-0971;Arnould;Arnould@#$456;9;1;36
Nahum;Nahum@hotmail.com;154.305.048-40;(86)97442-6350;Nahum;Nahum@#$456;17;1;110
Kousuke;Kousuke@hotmail.com;003.068.072-70;(76)96670-0759;Kousuke;Kousuke@#$456;8;1;12
Alper;Alper@hotmail.com;474.677.631-82;(83)97447-2530;Alper;Alper@#$456;9;1;117
Maik;Maik@hotmail.com;742.437.414-17;(04)96310-9136;Maik;Maik@#$456;11;1;53
